BATHRM,HF_BATHRM,AC,BEDRM,STORIES,PRICE,CNDTN,LANDAREA,FULLADDRESS,ASSESSMENT_NBHD,WARD,QUADRANT
1,1,Y,3,2,410000,Average,2092,4901 7TH PLACE NE,Brookland,Ward 5,NE
2,1,Y,3,2,419000,Average,7896,4334 VARNUM PLACE NE,Brookland,Ward 5,NE
2,0,Y,3,1,705000,Good,5265,1004 TAYLOR STREET NE,Brookland,Ward 5,NE
1,0,N,3,2,658000,Good,2633,1007 UPSHUR STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,610000,Very Good,3443,1009 HAMILTON STREET NE,Riggs Park,Ward 5,NE
3,2,Y,4,3,695000,Good,3781,5500 4TH STREET NE,Riggs Park,Ward 4,NE
2,0,Y,3,2,450000,Average,2233,5019 SOUTH DAKOTA AVENUE NE,Riggs Park,Ward 5,NE
2,1,Y,3,2,563500,Very Good,2090,746 KENNEDY STREET NE,Riggs Park,Ward 4,NE
1,0,N,3,2,430000,Average,2148,416 ONEIDA STREET NE,Riggs Park,Ward 4,NE
2,1,Y,3,2,379900,Average,3001,4802 7TH STREET NE,Brookland,Ward 5,NE
1,2,Y,3,2,520000,Good,2835,308 ONEIDA STREET NE,Riggs Park,Ward 4,NE
1,1,N,3,2,400000,Average,1999,512 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
1,1,N,3,2,399990,Good,1890,4622 12TH STREET NE,Brookland,Ward 5,NE
1,0,Y,2,2,345900,Good,1655,643 EMERSON STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,475000,Average,3333,3313 9TH STREET NE,Brookland,Ward 5,NE
2,1,Y,4,2,559000,Very Good,2794,807 JEFFERSON STREET NE,Riggs Park,Ward 5,NE
1,1,Y,3,2,500000,Good,2641,903 JEFFERSON STREET NE,Riggs Park,Ward 5,NE
3,1,Y,3,2,530000,Good,2131,943 JEFFERSON STREET NE,Riggs Park,Ward 5,NE
2,1,Y,3,2,727000,Good,3204,1008 URELL PLACE NE,Brookland,Ward 5,NE
1,2,N,3,2,350000,Good,2850,5149 8TH STREET NE,Riggs Park,Ward 5,NE
2,1,Y,3,2,567500,Very Good,3014,5077 8TH STREET NE,Riggs Park,Ward 5,NE
2,1,Y,4,2,532500,Very Good,1733,700 KENNEDY STREET NE,Riggs Park,Ward 4,NE
1,2,N,3,2,425000,Average,2940,5144 7TH STREET NE,Riggs Park,Ward 5,NE
1,1,N,3,2,340000,Average,2279,637 NICHOLSON STREET NE,Riggs Park,Ward 4,NE
1,0,N,3,2,785000,Average,3302,907 JACKSON STREET NE,Brookland,Ward 5,NE
3,1,Y,4,2,850000,Good,2343,3128 10TH STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,586123,Very Good,4100,5001 11TH STREET NE,Riggs Park,Ward 5,NE
2,1,Y,4,1,470000,Average,3537,346 OGLETHORPE STREET NE,Riggs Park,Ward 4,NE
1,1,N,3,2,425000,Average,2342,6403 NORTH CAPITOL STREET NE,Takoma Park,Ward 4,NE
1,1,Y,2,2,385000,Average,2972,718 HAMILTON STREET NE,Riggs Park,Ward 5,NE
3,1,Y,3,2,579950,Good,3717,601 JEFFERSON STREET NE,Riggs Park,Ward 5,NE
1,0,N,2,2,391400,Average,1654,615 FARRAGUT PLACE NE,Brookland,Ward 5,NE
2,0,Y,2,2,529000,Very Good,2786,400 RIGGS ROAD NE,Riggs Park,Ward 4,NE
2,1,Y,3,2,569500,Very Good,2108,539 MADISON STREET NE,Riggs Park,Ward 4,NE
2,0,Y,3,2,525000,Very Good,2646,706 BUCHANAN STREET NE,Brookland,Ward 5,NE
2,0,Y,3,2,490000,Good,3525,6543 NORTH CAPITOL STREET NE,Takoma Park,Ward 4,NE
1,1,Y,3,2,435100,Average,2542,5513 CHILLUM PLACE NE,Riggs Park,Ward 4,NE
